text,category,severity
I am blackmailed by someone older,Child Abuse,High
An adult talks to me in a disturbing way,Child Abuse,Medium
A man follows me every day,Stalking/Threat,Medium
He waits outside my house,Stalking/Threat,Medium
I receive threatening phone calls,Stalking/Threat,High
Someone sends me death threats,Stalking/Threat,High
A stranger tracks my location,Stalking/Threat,High
He keeps messaging me despite blocking,Stalking/Threat,Medium
I am being watched constantly,Stalking/Threat,Medium
He threatens to harm my family,Stalking/Threat,High
Someone follows me on my way to college,Stalking/Threat,Medium
I feel unsafe walking alone,Stalking/Threat,Low
He creates multiple accounts to contact me,Stalking/Threat,Medium
I am scared of repeated threats,Stalking/Threat,High
Someone damaged my vehicle,Stalking/Threat,Medium
He tries to enter my house forcefully,Stalking/Threat,High
A person waits outside my workplace,Stalking/Threat,Medium
I was touched without consent,Sexual Assault,High
Someone tried to force himself on me,Sexual Assault,High
I was sexually abused,Sexual Assault,High
A man molested me in public,Sexual Assault,High
I was attacked at night,Sexual Assault,High
Someone grabbed me inappropriately,Sexual Assault,High
I feel traumatized after an incident,Sexual Assault,Medium
He forced physical contact,Sexual Assault,High
I was threatened after rejecting him,Sexual Assault,Medium
Someone tried to assault me,Sexual Assault,High
I feel unsafe after being attacked,Sexual Assault,Medium
A stranger touched me in a bus,Sexual Assault,High
I was physically overpowered,Sexual Assault,High
Someone attempted rape,Sexual Assault,High
I am scared after sexual harassment,Sexual Assault,Medium
He throws things at me during fights,Domestic Violence,Medium
My husband threatens to abandon me,Domestic Violence,Medium
He prevents me from talking to neighbors,Domestic Violence,Low
I am not allowed to use my phone,Domestic Violence,Medium
He checks my messages without permission,Domestic Violence,Low
He forced me into physical intimacy,Domestic Violence,High
My in-laws blame me for everything,Domestic Violence,Low
He locked me out of the house at night,Domestic Violence,High
He restricts my access to money,Domestic Violence,Medium
I am slapped when I disagree,Domestic Violence,High
He humiliates me in public,Domestic Violence,Medium
I am threatened with divorce repeatedly,Domestic Violence,Medium
He forces me to ask money from my parents,Domestic Violence,Medium
He broke household items to scare me,Domestic Violence,Medium
I am constantly monitored at home,Domestic Violence,Low
He punched the wall near me to intimidate,Domestic Violence,High
My husband insults my character,Domestic Violence,Low
I am scared to speak in my own house,Domestic Violence,Medium
He forces me to stay silent,Domestic Violence,Medium
He physically hurt me last week,Domestic Violence,High
My supervisor comments on my clothes,Workplace Harassment,Low
I was asked to meet alone after office hours,Workplace Harassment,Medium
He sends me emojis with bad meaning,Workplace Harassment,Low
I was denied promotion unfairly,Workplace Harassment,Medium
My boss spreads false rumors about me,Workplace Harassment,Medium
He tried to hug me without consent,Workplace Harassment,High
I receive inappropriate jokes daily,Workplace Harassment,Low
My performance review was biased,Workplace Harassment,Medium
I am pressured to go out with my manager,Workplace Harassment,High
He threatens to reduce my salary,Workplace Harassment,High
Colleagues isolate me intentionally,Workplace Harassment,Medium
I was yelled at for rejecting advances,Workplace Harassment,Medium
He sends personal messages late at night,Workplace Harassment,Medium
I feel mentally harassed at work,Workplace Harassment,Medium
Someone brushed against me deliberately,Workplace Harassment,High
I am uncomfortable during meetings,Workplace Harassment,Low
He forces friendly behavior,Workplace Harassment,Medium
My ideas are dismissed because I am a woman,Workplace Harassment,Medium
I am being followed inside office premises,Workplace Harassment,High
He tried to hold my hand forcefully,Workplace Harassment,High
Someone keeps sending me threatening emails,Cyber Crime,High
My social media photos were edited badly,Cyber Crime,Medium
I am being harassed through fake accounts,Cyber Crime,Medium
A stranger asks for my personal details,Cyber Crime,Medium
My account password was changed without consent,Cyber Crime,High
Someone is spreading fake news about me online,Cyber Crime,Medium
I am receiving vulgar messages daily,Cyber Crime,Medium
My private chats were leaked,Cyber Crime,High
Someone demands money through online threats,Cyber Crime,High
I was added to inappropriate groups,Cyber Crime,Low
My identity is being misused online,Cyber Crime,High
I am scared of online stalking,Cyber Crime,Medium
Someone shared my number publicly,Cyber Crime,Medium
I am blackmailed with screenshots,Cyber Crime,High
I received fake legal notices online,Cyber Crime,Medium
A stranger is asking for video calls repeatedly,Cyber Crime,Medium
I was hacked after clicking a link,Cyber Crime,High
Someone is morphing my photos,Cyber Crime,High
I get threatening comments on posts,Cyber Crime,Medium
My email was used for fraud,Cyber Crime,High
My husband demands more gold from my parents,Dowry Harassment,Medium
I am pressured to bring money from home,Dowry Harassment,Medium
They insult me for not bringing a car,Dowry Harassment,Low
My in-laws threaten me for property,Dowry Harassment,High
I am forced to ask money from my family,Dowry Harassment,Medium
They say I am useless without dowry,Dowry Harassment,Low
My husband beats me for dowry,Dowry Harassment,High
They demand expensive gifts repeatedly,Dowry Harassment,Medium
I am harassed emotionally for dowry,Dowry Harassment,Medium
They refuse to give me food properly,Dowry Harassment,High
I am threatened to be sent back home,Dowry Harassment,Medium
My in-laws compare me to other brides,Dowry Harassment,Low
They demand money to accept me,Dowry Harassment,Medium
I am tortured mentally for dowry,Dowry Harassment,High
My husband supports their dowry demands,Dowry Harassment,Medium
I am locked in a room for dowry issues,Dowry Harassment,High
They pressure my parents constantly,Dowry Harassment,Medium
I am abused verbally for dowry,Dowry Harassment,Low
They threaten to remarry my husband,Dowry Harassment,High
I am denied basic needs due to dowry,Dowry Harassment,High
An adult touches me in a way I dislike,Child Abuse,High
I am forced to stay alone with someone,Child Abuse,Medium
A relative makes me uncomfortable,Child Abuse,Medium
Someone threatens me to not tell anyone,Child Abuse,High
I am scared to go near my neighbor,Child Abuse,Medium
An adult sends me bad pictures,Child Abuse,High
I am asked to keep secrets about touching,Child Abuse,High
Someone tries to kiss me forcefully,Child Abuse,High
I feel unsafe at tuition classes,Child Abuse,Medium
A man offers gifts for wrong reasons,Child Abuse,Low
I was pushed by an adult,Child Abuse,High
Someone forces me to sit close,Child Abuse,Medium
I am uncomfortable around a family friend,Child Abuse,Medium
I was hit by an older person,Child Abuse,High
Someone scares me to stay silent,Child Abuse,High
I am afraid of a teacher,Child Abuse,Medium
I was touched while sleeping,Child Abuse,High
An adult calls me alone often,Child Abuse,Medium
I feel mentally disturbed due to behavior,Child Abuse,Medium
Someone records me without permission,Child Abuse,High
Someone keeps following me on my route,Stalking/Threat,Medium
I receive unknown threatening messages,Stalking/Threat,High
A man waits outside my college daily,Stalking/Threat,Medium
I am afraid of repeated phone calls,Stalking/Threat,Medium
He threatens to harm me if I reject him,Stalking/Threat,High
Someone watches my house at night,Stalking/Threat,High
I am scared to travel alone,Stalking/Threat,Low
He tries to enter my workplace,Stalking/Threat,High
A stranger sends voice threats,Stalking/Threat,High
I am followed on public transport,Stalking/Threat,Medium
Someone keeps appearing wherever I go,Stalking/Threat,Medium
I feel unsafe due to constant tracking,Stalking/Threat,Medium
He damages my belongings,Stalking/Threat,High
I receive repeated disturbing calls,Stalking/Threat,Medium
Someone threatens my family,Stalking/Threat,High
I am being chased after rejection,Stalking/Threat,Medium
He keeps sending threatening letters,Stalking/Threat,High
I feel mentally stressed due to stalking,Stalking/Threat,Medium
Someone tries to grab me forcefully,Stalking/Threat,High
I am monitored without consent,Stalking/Threat,Medium
I was forced into unwanted physical contact,Sexual Assault,High
A man grabbed me suddenly,Sexual Assault,High
I was attacked while returning home,Sexual Assault,High
Someone tried to undress me,Sexual Assault,High
I was assaulted in a crowded place,Sexual Assault,High
He tried to force intimacy,Sexual Assault,High
I am traumatized after being touched,Sexual Assault,Medium
Someone pushed me against the wall,Sexual Assault,High
I was threatened after resisting,Sexual Assault,Medium
A stranger molested me in a bus,Sexual Assault,High
I was physically restrained,Sexual Assault,High
Someone attempted inappropriate touching,Sexual Assault,High
I feel unsafe after an incident,Sexual Assault,Medium
He tried to overpower me,Sexual Assault,High
I was followed and attacked,Sexual Assault,High
Someone tried to force a kiss,Sexual Assault,Medium
I am emotionally disturbed after assault,Sexual Assault,Medium
I was harmed physically during an attack,Sexual Assault,High
A man tried to drag me,Sexual Assault,High
I feel afraid after sexual violence,Sexual Assault,High
My husband has been physically hurting me for months and I feel trapped,Domestic Violence,High
I am not allowed to leave the house without permission,Domestic Violence,Medium
He constantly threatens to take away my children,Domestic Violence,High
I am emotionally abused and called names daily,Domestic Violence,Medium
He forces me to give him my entire salary,Domestic Violence,Medium
I am scared he might seriously injure me,Domestic Violence,High
My in-laws support his violent behavior,Domestic Violence,High
He isolates me from my friends and family,Domestic Violence,Medium
I feel mentally broken because of his abuse,Domestic Violence,Medium
He broke my belongings to scare me,Domestic Violence,Medium
I am forced into decisions against my will,Domestic Violence,Medium
He humiliates me in front of relatives,Domestic Violence,Low
I am constantly monitored and restricted,Domestic Violence,Medium
He threatens suicide to manipulate me,Domestic Violence,Medium
I fear for my safety every day,Domestic Violence,High
My manager repeatedly makes personal comments about my body and it makes me uncomfortable,Workplace Harassment,Medium
I was told that I would get promoted only if I go out privately with my supervisor,Workplace Harassment,High
My boss sends me inappropriate messages late at night and expects replies,Workplace Harassment,Medium
I am constantly criticized unfairly compared to male colleagues,Workplace Harassment,Medium
He tried to touch my shoulder even after I asked him not to,Workplace Harassment,High
I feel mentally stressed because of repeated harassment in the office,Workplace Harassment,Medium
My ideas are ignored and I am mocked in meetings,Workplace Harassment,Low
I was threatened with job termination after rejecting advances,Workplace Harassment,High
A colleague spreads false rumors to damage my reputation,Workplace Harassment,Medium
I am pressured to dress in a certain way at work,Workplace Harassment,Medium
My supervisor intentionally isolates me from team activities,Workplace Harassment,Medium
I feel unsafe staying late in the office because of someone’s behavior,Workplace Harassment,High
He keeps asking about my personal life in an uncomfortable way,Workplace Harassment,Low
I was forced to sit alone in a cabin with someone against my will,Workplace Harassment,High
My performance ratings were reduced unfairly after I complained,Workplace Harassment,Medium
Someone created fake social media accounts to harass me continuously,Cyber Crime,Medium
I am being blackmailed with private photos that were stolen from my phone,Cyber Crime,High
My personal details were posted publicly without my consent,Cyber Crime,High
A stranger threatens to hack my accounts if I do not respond,Cyber Crime,High
I receive daily abusive messages from unknown numbers,Cyber Crime,Medium
Someone is impersonating me online and damaging my reputation,Cyber Crime,Medium
My confidential information was leaked on the internet,Cyber Crime,High
I am being stalked through social media platforms constantly,Cyber Crime,Medium
A hacker accessed my bank account and withdrew money,Cyber Crime,High
I am scared because someone keeps sending threatening voice notes,Cyber Crime,High
My photos were morphed and circulated online,Cyber Crime,High
I was tricked into sharing OTP and now my account is compromised,Cyber Crime,High
Someone spreads false accusations about me through online posts,Cyber Crime,Medium
I feel unsafe because of repeated cyber threats,Cyber Crime,Medium
My email is flooded with disturbing messages,Cyber Crime,Low
My husband constantly pressures my parents to send more money,Dowry Harassment,Medium
I am beaten whenever dowry demands are not fulfilled,Dowry Harassment,High
My in-laws threaten to throw me out if I do not bring more gold,Dowry Harassment,High
I am insulted daily for bringing less dowry,Dowry Harassment,Low
They compare me with other brides who brought expensive gifts,Dowry Harassment,Low
My husband refuses to support me unless I get money from my family,Dowry Harassment,Medium
I am emotionally tortured because of dowry issues,Dowry Harassment,Medium
They demand property transfer in my husband’s name,Dowry Harassment,High
I am denied food and basic care due to dowry conflicts,Dowry Harassment,High
My parents are being threatened for additional payments,Dowry Harassment,High
I feel mentally exhausted due to continuous dowry harassment,Dowry Harassment,Medium
My in-laws spread rumors about my family for not giving enough dowry,Dowry Harassment,Medium
I am forced to sign financial documents under pressure,Dowry Harassment,High
They say they will remarry my husband if I fail to bring money,Dowry Harassment,High
I am verbally abused regarding dowry every day,Dowry Harassment,Low
A minor girl is being forced into early marriage against her will,Child Abuse,High
A teacher touches a student inappropriately during class,Child Abuse,High
A child is being beaten regularly at home,Child Abuse,Medium
A minor is forced to work instead of going to school,Child Abuse,Medium
A girl under 18 is being emotionally threatened to stay silent,Child Abuse,High
Parents are denying education to their daughter,Child Abuse,Medium
A minor is being sexually harassed by a relative,Child Abuse,High
A child is locked inside the house as punishment,Child Abuse,Medium
A 16-year-old girl is pressured to marry a much older man,Child Abuse,High
A child is constantly verbally abused and insulted,Child Abuse,Low
A minor is being exploited for labor in unsafe conditions,Child Abuse,High
A young girl is being stalked by an adult,Child Abuse,High
A child is threatened if she reports abuse,Child Abuse,High
A minor is denied medical care intentionally,Child Abuse,Medium
A child is emotionally manipulated to hide mistreatment,Child Abuse,Medium
My husband controls all my money and does not allow me to spend anything,Domestic Violence,Medium
I am slapped whenever I question his decisions,Domestic Violence,High
He threatens to harm himself if I try to leave the marriage,Domestic Violence,Medium
My in-laws constantly blame me for small issues and insult me,Domestic Violence,Low
I am not allowed to talk to my friends or family,Domestic Violence,Medium
He forces me to quit my job against my will,Domestic Violence,Medium
I am pushed and physically hurt during arguments,Domestic Violence,High
My husband monitors my phone and messages daily,Domestic Violence,Medium
I am denied medical treatment after being injured,Domestic Violence,High
He locks me inside the house when he goes out,Domestic Violence,High
I am threatened with divorce if I disobey him,Domestic Violence,Medium
He shouts and throws objects at me in anger,Domestic Violence,Medium
I am forced into physical relations without my consent,Domestic Violence,High
My movements are restricted and I need permission to go outside,Domestic Violence,Medium
I am constantly told that I am worthless,Domestic Violence,Low
He destroys my personal belongings during fights,Domestic Violence,Medium
I am scared because he keeps threatening violence,Domestic Violence,High
My husband prevents me from continuing my education,Domestic Violence,Medium
I am pressured to tolerate abuse to protect family honor,Domestic Violence,Medium
He publicly humiliates me in front of relatives,Domestic Violence,Low
I am emotionally blackmailed using my children,Domestic Violence,High
He hides important documents to control me,Domestic Violence,Medium
I am forced to apologize even when I am not wrong,Domestic Violence,Low
My husband records arguments to intimidate me,Domestic Violence,Medium
I feel unsafe living in my own house due to his behavior,Domestic Violence,High
Someone hacked my social media and is posting offensive content,Cyber Crime,High
I am receiving threatening emails demanding money,Cyber Crime,High
My private chat screenshots were shared without permission,Cyber Crime,Medium
A fake profile is spreading false information about me,Cyber Crime,Medium
I am being cyberbullied daily in online groups,Cyber Crime,Medium
Someone edited my photos and uploaded them to shame me,Cyber Crime,High
I am blackmailed to send money or my secrets will be exposed,Cyber Crime,High
A stranger keeps sending inappropriate video calls,Cyber Crime,Medium
My account was used to scam others without my knowledge,Cyber Crime,High
I am constantly tracked through unknown apps,Cyber Crime,High
My password was stolen and my data deleted,Cyber Crime,High
I receive abusive comments every time I post online,Cyber Crime,Medium
Someone threatens to leak my private conversations,Cyber Crime,High
My device was infected with malware after clicking a suspicious link,Cyber Crime,Medium
I am being harassed through anonymous online messages,Cyber Crime,Medium
My bank details were misused after a phishing attack,Cyber Crime,High
I am afraid because someone knows my personal address from online sources,Cyber Crime,High
Fake news about me is circulating on social platforms,Cyber Crime,Medium
I was tricked into sharing confidential documents online,Cyber Crime,High
My online exam account was hacked intentionally,Cyber Crime,Medium
I am receiving repeated OTP requests I did not initiate,Cyber Crime,Medium
Someone threatens to morph my photos if I do not cooperate,Cyber Crime,High
I was added to inappropriate online groups without consent,Cyber Crime,Low
My identity documents were misused digitally,Cyber Crime,High
I feel unsafe due to continuous digital harassment,Cyber Crime,Medium
My manager makes sexist jokes during meetings,Workplace Harassment,Medium
I was denied promotion after rejecting inappropriate proposals,Workplace Harassment,High
A colleague keeps commenting on my appearance daily,Workplace Harassment,Medium
I am excluded from important meetings intentionally,Workplace Harassment,Medium
My supervisor pressures me to stay late alone in the office,Workplace Harassment,High
I receive uncomfortable stares and gestures at work,Workplace Harassment,Medium
My complaints about harassment are ignored by HR,Workplace Harassment,High
A senior employee spreads rumors about my character,Workplace Harassment,Medium
I am forced to tolerate insults to keep my job,Workplace Harassment,Medium
My work is unfairly criticized compared to others,Workplace Harassment,Low
I am repeatedly assigned impossible deadlines as punishment,Workplace Harassment,Medium
A coworker tries to physically invade my personal space,Workplace Harassment,High
I am asked personal questions unrelated to my job,Workplace Harassment,Low
My salary increment was blocked after reporting misconduct,Workplace Harassment,High
I feel mentally exhausted due to toxic behavior at work,Workplace Harassment,Medium
I am threatened with negative reviews if I complain,Workplace Harassment,High
Male colleagues mock my abilities openly,Workplace Harassment,Medium
I was transferred unfairly after raising concerns,Workplace Harassment,High
A superior sends suggestive emojis in official chats,Workplace Harassment,Medium
I am pressured to attend unofficial gatherings unwillingly,Workplace Harassment,Medium
My ideas are stolen and presented by others,Workplace Harassment,Low
I am constantly compared negatively to male employees,Workplace Harassment,Medium
My leave requests are rejected without valid reason,Workplace Harassment,Low
I feel unsafe reporting misconduct due to retaliation fears,Workplace Harassment,High
A coworker blocks my career growth intentionally,Workplace Harassment,Medium
My husband demands a car from my parents after marriage,Dowry Harassment,High
I am constantly reminded that my dowry was insufficient,Dowry Harassment,Medium
My in-laws refuse to let me visit my parents unless money is sent,Dowry Harassment,High
I am verbally abused for not bringing expensive gifts,Dowry Harassment,Medium
They threaten to send me back if I do not fulfill their demands,Dowry Harassment,High
My jewelry was taken away and kept by my in-laws,Dowry Harassment,Medium
I am compared with other daughters-in-law who brought more dowry,Dowry Harassment,Low
My husband insults my family for financial reasons,Dowry Harassment,Medium
I am pressured to ask my parents for property share,Dowry Harassment,High
My in-laws control all financial decisions and exclude me,Dowry Harassment,Medium
I am denied basic household needs as punishment,Dowry Harassment,High
They constantly threaten legal action against my parents,Dowry Harassment,High
I am isolated in the house due to dowry disputes,Dowry Harassment,Medium
My family is humiliated publicly for dowry matters,Dowry Harassment,Medium
I am forced to bring money for household expenses,Dowry Harassment,High
My husband blames me for financial instability,Dowry Harassment,Low
I am told I will be replaced if I do not bring more assets,Dowry Harassment,High
They refuse to support me during pregnancy due to dowry issues,Dowry Harassment,High
My in-laws hide my personal belongings over money conflicts,Dowry Harassment,Medium
I am emotionally blackmailed regarding dowry expectations,Dowry Harassment,Medium
They pressure my parents during every family event for money,Dowry Harassment,High
I am insulted in front of guests about dowry,Dowry Harassment,Medium
My husband threatens separation over financial demands,Dowry Harassment,High
I feel constantly stressed due to dowry harassment,Dowry Harassment,Medium
I am denied participation in family decisions due to dowry conflicts,Dowry Harassment,Low
A minor girl is forced to drop out of school to work,Child Abuse,Medium
A child is physically punished with severe beatings,Child Abuse,High
A relative behaves inappropriately with a young girl,Child Abuse,High
A minor is threatened not to report abuse,Child Abuse,High
A 15-year-old girl is pressured into engagement,Child Abuse,High
A child is deprived of food as punishment,Child Abuse,Medium
Parents force their daughter into domestic labor,Child Abuse,Medium
A child is emotionally manipulated to hide mistreatment,Child Abuse,Medium
A minor girl is stalked repeatedly by an adult neighbor,Child Abuse,High
A child is humiliated publicly as a form of discipline,Child Abuse,Low
A girl under 18 is coerced into unsafe activities,Child Abuse,High
A minor is kept out of school against her will,Child Abuse,Medium
A child is denied medical help despite illness,Child Abuse,High
A guardian threatens a child to remain silent,Child Abuse,High
A minor is forced to handle dangerous work,Child Abuse,High
A child is verbally abused daily at home,Child Abuse,Low
A teenage girl is pressured into marriage discussions,Child Abuse,High
A child is isolated from friends and relatives,Child Abuse,Medium
A minor is exploited for financial gain,Child Abuse,High
A child faces constant psychological intimidation,Child Abuse,Medium
A young girl is denied access to education due to gender bias,Child Abuse,Medium
A child is physically restrained as punishment,Child Abuse,High
A minor is exposed to harmful environments intentionally,Child Abuse,High
A child is forced to beg on the streets,Child Abuse,High
A young girl is silenced when she reports inappropriate behavior,Child Abuse,High
My husband threatens to throw me out of the house during arguments,Domestic Violence,High
I am constantly blamed for things I did not do,Domestic Violence,Low
He forces me to hand over my salary every month,Domestic Violence,Medium
I am scared because he breaks things when angry,Domestic Violence,Medium
My husband prevents me from talking to neighbors,Domestic Violence,Medium
I am slapped and pushed during fights,Domestic Violence,High
He insults my character without any reason,Domestic Violence,Low
I am threatened that my children will be taken away,Domestic Violence,High
My husband forces me to sign documents without explaining them,Domestic Violence,High
I feel emotionally drained due to constant humiliation at home,Domestic Violence,Medium
Someone is sending me threatening messages demanding money online,Cyber Crime,High
My social media account was accessed without my permission,Cyber Crime,Medium
A fake profile is using my photos to harass others,Cyber Crime,High
I am receiving repeated abusive comments on my posts,Cyber Crime,Medium
Someone shared my private number publicly on the internet,Cyber Crime,High
I was tricked into clicking a link and lost access to my account,Cyber Crime,Medium
A person threatens to leak my pictures if I do not comply,Cyber Crime,High
I am being harassed through anonymous chat applications,Cyber Crime,Medium
My email was hacked and confidential data was stolen,Cyber Crime,High
I feel unsafe because someone keeps tracking my online activity,Cyber Crime,High
My supervisor makes inappropriate jokes about women in meetings,Workplace Harassment,Medium
I was told to dress differently to get better opportunities,Workplace Harassment,Medium
A senior colleague touches me unnecessarily while talking,Workplace Harassment,High
I am threatened with poor performance reviews if I complain,Workplace Harassment,High
My manager sends personal messages unrelated to work,Workplace Harassment,Medium
I am excluded from team discussions intentionally,Workplace Harassment,Medium
A coworker spreads rumors about my personal life,Workplace Harassment,Medium
I was denied training opportunities without valid reason,Workplace Harassment,Low
I feel uncomfortable due to repeated unwanted compliments,Workplace Harassment,Medium
I am pressured to tolerate disrespectful behavior to keep my job,Workplace Harassment,High
My in-laws demand cash every month from my parents,Dowry Harassment,High
I am insulted for not bringing enough jewelry,Dowry Harassment,Medium
My husband threatens to leave me if I do not bring more money,Dowry Harassment,High
I am forced to ask my parents for financial help repeatedly,Dowry Harassment,Medium
My in-laws taunt me daily about dowry,Dowry Harassment,Low
They demand expensive household items from my family,Dowry Harassment,High
I am emotionally pressured regarding property transfer,Dowry Harassment,High
My family is publicly embarrassed over dowry issues,Dowry Harassment,Medium
I am denied support unless additional gifts are provided,Dowry Harassment,High
My husband blames me for not fulfilling dowry expectations,Dowry Harassment,Medium
A minor girl is forced to stay at home and not attend school,Child Abuse,Medium
A child is beaten severely for small mistakes,Child Abuse,High
A relative behaves inappropriately with a young child,Child Abuse,High
A minor is threatened if she tells anyone about mistreatment,Child Abuse,High
A 14-year-old girl is pressured into marriage talks,Child Abuse,High
A child is denied food as punishment,Child Abuse,Medium
Parents force their daughter to work instead of studying,Child Abuse,Medium
A minor is verbally abused and insulted daily,Child Abuse,Low
A child is locked in a room for long hours,Child Abuse,High
A young girl is silenced when reporting harassment,Child Abuse,High
My husband prevents me from visiting my parents without permission,Domestic Violence,Medium
My partner controls who I can speak to on the phone,Domestic Violence,Medium
I am not allowed to go outside alone,Domestic Violence,Medium
My husband monitors all my social media accounts,Domestic Violence,Medium
I must ask permission before spending any money,Domestic Violence,Medium
He restricts my access to family gatherings,Domestic Violence,Medium
I am forced to share my passwords with him,Domestic Violence,Medium
He checks my phone daily and questions every message,Domestic Violence,Medium
My movements are constantly tracked by my spouse,Domestic Violence,Medium
I am not allowed to continue my education,Domestic Violence,Medium
My husband constantly insults my character,Domestic Violence,Low
I am told I am useless and incapable,Domestic Violence,Low
He humiliates me in front of guests,Domestic Violence,Low
My spouse blames me for every problem in the house,Domestic Violence,Low
I am emotionally manipulated to feel guilty,Domestic Violence,Medium
He threatens to leave me if I disagree,Domestic Violence,Medium
I am compared negatively with other women,Domestic Violence,Low
My husband shouts at me for minor issues,Domestic Violence,Medium
I am mocked for my education level,Domestic Violence,Low
He spreads false accusations about me to relatives,Domestic Violence,Medium
My husband takes my entire salary every month,Domestic Violence,Medium
I am denied access to my own bank account,Domestic Violence,High
He forces me to sign financial documents without explanation,Domestic Violence,High
I am not allowed to work despite wanting to,Domestic Violence,Medium
My spouse hides financial information from me,Domestic Violence,Medium
I am threatened if I ask about household expenses,Domestic Violence,Medium
He refuses to provide money for basic needs,Domestic Violence,High
I am pressured to give my savings to him,Domestic Violence,Medium
My husband controls all property documents,Domestic Violence,High
I am financially dependent because he forbids employment,Domestic Violence,Medium
My husband pushes me during arguments,Domestic Violence,High
I am slapped when I question him,Domestic Violence,High
He throws objects at me in anger,Domestic Violence,High
I am physically hurt during fights,Domestic Violence,High
My spouse threatens to beat me,Domestic Violence,High
I have visible injuries due to domestic fights,Domestic Violence,High
He locks me inside the house as punishment,Domestic Violence,High
I am afraid he may seriously harm me,Domestic Violence,High
My husband grabs me forcefully during disputes,Domestic Violence,High
I am physically restrained when trying to leave,Domestic Violence,High
My husband threatens me during pregnancy,Domestic Violence,High
I am denied medical care while expecting a child,Domestic Violence,High
He pressures me to have a child against my will,Domestic Violence,High
I am blamed for not having a male child,Domestic Violence,Medium
My spouse insults me about infertility issues,Domestic Violence,Medium
I am forced to do heavy work during pregnancy,Domestic Violence,High
He refuses hospital visits when I am unwell,Domestic Violence,High
I am threatened if I discuss health problems,Domestic Violence,Medium
My husband forces decisions about childbirth,Domestic Violence,High
